"","id","hb","cancer_site_icd10code","cancer_site","sex","sex_qf","year","incidences_age_under5","incidences_age5to9","incidences_age10to14","incidences_age15to19","incidences_age20to24","incidences_age25to29","incidences_age30to34","incidences_age35to39","incidences_age40to44","incidences_age45to49","incidences_age50to54","incidences_age55to59","incidences_age60to64","incidences_age65to69","incidences_age70to74","incidences_age75to79","incidences_age80to84","incidences_age85and_over","incidences_all_ages","incidence_rate_age_under5","incidence_rate_age5to9","incidence_rate_age10to14","incidence_rate_age15to19","incidence_rate_age20to24","incidence_rate_age25to29","incidence_rate_age30to34","incidence_rate_age35to39","incidence_rate_age40to44","incidence_rate_age45to49","incidence_rate_age50to54","incidence_rate_age55to59","incidence_rate_age60to64","incidence_rate_age65to69","incidence_rate_age70to74","incidence_rate_age75to79","incidence_rate_age80to84","incidence_rate_age85and_over","crude_rate","crude_rate_lower95pc_confidence_interval","crude_rate_upper95pc_confidence_interval","easr","easr_lower95pc_confidence_interval","easr_lower95pc_confidence_interval_qf","easr_upper95pc_confidence_interval","easr_upper95pc_confidence_interval_qf","wasr","wasr_lower95pc_confidence_interval","wasr_lower95pc_confidence_interval_qf","wasr_upper95pc_confidence_interval","wasr_upper95pc_confidence_interval_qf","standardised_incidence_ratio","sir_lower95pc_confidence_interval","sir_upper95pc_confidence_interval"
"399",414,"S08000029","C67","Bladder","Female"," ","2015-2019",0,0,0,0,0,0,0,1,0,2,2,3,10,8,16,23,18,20,103,0,0,0,0,0,0,0,1.78699070764832,0,2.93793609988983,2.7763125017352,4.45110461579549,16.6636116711936,13.4809497329087,31.1799668712852,60.8658833492114,63.9886242445787,71.471965121681,10.7815583015382,8.80025732803866,13.0757750367181,9.94928622222184,"8.11601188026682"," ","11.9664523669244"," ",3.58088949475499,"2.83012169128073"," ","4.4186487988429"," ",108.074364294342,88.2137989476631,131.071597929171
"400",398,"S08000017","C44","Non-melanoma skin cancer","Male"," ","2015-2019",0,0,0,1,0,2,2,6,10,18,41,64,115,177,246,273,231,249,1435,0,0,0,5.07665752868312,0,10.8867236405204,11.1881852763482,35.7270453733476,54.5077946146299,73.7372496005899,142.011014512833,225.598364411858,432.444628285639,644.832234325476,1064.88896584563,1606.54387100571,2002.25361879171,3049.22850844967,395.966931932319,375.742397073316,416.997218879393,343.232705381896,"325.34066112359"," ","361.596929951647"," ",127.225319687201,"119.719461355201"," ","134.956165116298"," ",110.01643284651,104.397198002051,115.859539846291
"401",399,"S08000017","C44","Non-melanoma skin cancer","Female"," ","2015-2019",0,0,0,0,0,2,4,9,13,25,36,56,69,87,118,135,164,165,883,0,0,0,0,0,10.6190931294467,21.053739670509,47.8418031044014,63.9700816848735,92.7093376844916,115.942028985507,186.256901483403,244.109530885162,314.170157446194,472.245567695201,709.667244914051,1146.29202488292,1191.24972926143,230.166094944166,215.233166977311,245.862018203201,179.058427917271,"167.2850360674"," ","191.226510774043"," ",75.0501812201824,"69.0037628726642"," ","81.3469138954525"," ",104.117669111611,97.3626270481926,111.21785884495
"402",400,"S08000017","C44, M-8090-8098","Basal cell carcinoma of the skin","All","d","2015-2019",0,0,0,0,0,3,5,13,19,38,70,99,152,186,242,249,196,157,1429,0,0,0,0,0,8.06343233436366,13.5593220338983,36.5107004437454,49.1362366814937,73.9630573992253,116.82048029906,169.419012578078,277.073953225542,337.317059900981,503.244052570288,691.359395824078,758.39653304442,713.085343143934,191.544689292799,181.741041641809,201.739754513045,158.744539576716,"150.479303823591"," ","167.227633850662"," ",69.8191728588567,"65.6146890674733"," ","74.1523794893787"," ",97.4921211372561,92.5022756452923,102.681189741163
"403",401,"S08000017","C44, M-8090-8098","Basal cell carcinoma of the skin","Male"," ","2015-2019",0,0,0,0,0,2,2,5,10,16,37,51,91,117,154,150,91,82,808,0,0,0,0,0,10.8867236405204,11.1881852763482,29.772537811123,54.5077946146299,65.544221867191,128.15628138963,179.773696640699,342.195314556462,426.245036249044,666.637807887104,882.716412640499,788.766577099766,1004.16360519226,222.955596516595,207.845518395982,238.873779975414,189.634698996942,"176.575730961176"," ","203.152923857017"," ",81.7301990658456,"75.3549609913979"," ","88.3606262432323"," ",98.936987672341,92.2318605703357,106.000713119188
"404",402,"S08000017","C44, M-8090-8098","Basal cell carcinoma of the skin","Female"," ","2015-2019",0,0,0,0,0,1,3,8,9,22,33,48,61,69,88,99,105,75,621,0,0,0,0,0,5.30954656472337,15.7903047528817,42.5260472039124,44.2869796279894,81.5842171623526,106.280193236715,159.64877270006,215.806976579636,249.169435215947,352.18313523032,520.422646270304,733.906479345775,541.477149664284,161.872191348049,149.389497014644,175.119517169683,127.85438015649,"117.862322423218"," ","138.247186670617"," ",57.9081466518678,"52.5073626495623"," ","63.5695173183679"," ",95.6741646314855,88.2962985338381,103.503964308818
"405",403,"S08000017","C44, M-8050-8078, M-8083-8084","Squamous cell carcinoma of the skin","All","d","2015-2019",0,0,0,1,0,0,1,0,2,3,7,20,32,77,116,153,198,251,861,0,0,0,2.65456186456425,0,0,2.71186440677966,0,5.17223544015724,5.83918874204411,11.682048029906,34.2260631470865,58.3313585737983,139.642008668686,241.224421893196,424.811195024434,766.135273177527,1140.02816005814,115.409361428342,107.828279816689,123.382853516985,98.8665323450376,"92.1954032320001"," ","105.76737645483"," ",29.498353792314,"27.2972471931887"," ","31.7835935820679"," ",130.31050466945,121.750587531635,139.313498579039
"406",404,"S08000017","C44, M-8050-8078, M-8083-8084","Squamous cell carcinoma of the skin","Male"," ","2015-2019",0,0,0,1,0,0,0,0,0,1,4,12,24,59,88,118,140,162,609,0,0,0,5.07665752868312,0,0,0,0,0,4.09651386669944,13.8547331232032,42.2996933272234,90.2493137291768,214.944078108492,380.935890221203,694.403577943859,1213.48704169195,1983.83541513593,168.044502820057,154.961358618988,181.937180741227,149.121492936208,"137.217423142634"," ","161.513667674096"," ",43.6950751592564,"39.9506986005435"," ","47.6047831465048"," ",129.47287875633,119.392737398118,140.176739780659
"407",405,"S08000017","C44, M-8050-8078, M-8083-8084","Squamous cell carcinoma of the skin","Female"," ","2015-2019",0,0,0,0,0,0,1,0,2,2,3,8,8,18,28,35,58,89,252,0,0,0,0,0,0,5.26343491762724,0,9.84155102844208,7.41674701475933,9.66183574879227,26.6081287833433,28.3025543055261,65.000722230247,112.058270300556,183.987804236976,405.395960019571,642.552884268284,65.6872660542806,57.8267531158793,74.3181600386887,48.6115717538669,"42.748223369752"," ","54.8462578205669"," ",15.3016324253717,"13.0499622399338"," ","17.7298744947191"," ",132.380222584316,116.538850048692,149.774151961943
"408",406,"S08000017","C16","Stomach","All","d","2015-2019",0,0,0,0,0,0,1,0,1,1,4,4,14,9,15,21,21,14,105,0,0,0,0,0,0,2.71186440677966,0,2.58611772007862,1.94639624734804,6.67545601708917,6.8452126294173,25.5199693760367,16.3217932210152,31.1928131758443,58.3074189249223,81.2567713976165,63.5872280510515,14.07431236931,11.5113931317728,17.0378132363997,11.6580812009893,"9.51065022423473"," ","14.0208380687722"," ",4.58476887482812,"3.60835334137526"," ","5.67633748206425"," ",93.6810672443907,76.6218317284013,113.40664365081
"409",407,"S08000017","C16","Stomach","Male"," ","2015-2019",0,0,0,0,0,0,1,0,1,0,2,4,7,9,13,11,15,8,71,0,0,0,0,0,0,5.59409263817409,0,5.45077946146299,0,6.92736656160161,14.0998977757411,26.3227165043432,32.7880797114649,56.274620146314,64.7325369269699,130.016468752709,97.9671809943669,19.5913952384632,15.3010422220779,24.711879313446,16.4204176138609,"12.7823759626473"," ","20.5071291297193"," ",6.52234363753698,"4.87062825761133"," ","8.41151426643778"," ",98.6638159605691,77.0572588337211,124.450978755962
"410",408,"S08000017","C16","Stomach","Female"," ","2015-2019",0,0,0,0,0,0,0,0,0,1,2,0,7,0,2,10,6,6,34,0,0,0,0,0,0,0,0,0,3.70837350737966,6.44122383252818,0,24.7647350173353,0,8.00416216432545,52.5679440677075,41.9375131054728,43.3181719731427,8.86256764224421,6.1375857282873,12.384549962778,6.89574478811768,"4.76689959813329"," ","9.41141041326191"," ",2.64719411211926,"1.68872768536475"," ","3.81764283240186"," ",84.7439172959004,58.687626244483,118.421130326837
"411",409,"S08000029","C00-C97, excluding C44","All cancer types","All","d","2015-2019",20,13,8,15,34,69,109,153,237,413,698,946,1265,1754,1947,1688,1305,1147,11821,20.616856341745,12.2449748507055,8.03470994697091,14.4628497599167,28.2239654671481,63.0338464349335,103.261744839281,141.661419947409,212.399849438081,311.636961803722,500.118222789055,717.351411195535,1085.29659053862,1539.2986274441,1989.19073549995,2436.63029043247,2664.6248085758,2658.29238898674,637.154499590358,625.719717609981,648.745770493331,631.10167937645,"619.618217618775"," ","642.68911645528"," ",294.73094131281,"288.743257081936"," ","300.779221500945"," ",98.2947809617905,96.5307199831273,100.082983721418
"412",410,"S08000029","C00-C97, excluding C44","All cancer types","Male"," ","2015-2019",11,9,6,8,15,20,38,47,61,164,245,461,645,940,1045,927,666,528,5836,22.0799293442261,16.5201270214211,11.7506511819197,15.1117323712197,25.1374178844349,37.4721301032357,75.2043381028716,90.3082007532088,112.214863870493,254.45687421452,362.807090287136,715.005816207832,1140.6440659982,1721.45407929677,2244.22300489649,2943.97865853659,3195.01079395538,3481.70128585559,648.484074026746,631.952003531977,665.339176510272,675.318742360702,"657.835924045569"," ","693.027649077519"," ",295.376818462562,"287.027500223172"," ","303.844173087442"," ",97.3729522150109,94.8905836036949,99.903825607963
"413",411,"S08000029","C00-C97, excluding C44","All cancer types","Female"," ","2015-2019",9,4,2,7,19,49,71,106,176,249,453,485,620,814,902,761,639,619,5985,19.0722414121935,7.73888985625012,4.1231162512627,13.7863121614968,31.2535982761173,87.3564857733723,129.02522352257,189.421015010722,307.574009996155,365.773044436283,628.834781643022,719.59524622027,1033.143923614,1371.68663532346,1757.7706323687,2013.8668360326,2271.59616068255,2212.05732051603,626.481810045691,610.709447294673,642.558458742293,586.884616392198,"572.056896405905"," ","601.89941431475"," ",294.085064163058,"285.535532818961"," ","302.758954915377"," ",99.2106243640711,96.7128887057748,101.75654721338
"414",412,"S08000029","C67","Bladder","All","d","2015-2019",0,0,0,0,0,0,0,1,3,6,5,18,29,34,56,68,50,52,322,0,0,0,0,0,0,0,0.925891633643198,2.68860568908964,4.52741348867392,3.58250875923392,13.6493926020292,24.8803170953517,29.8381717976621,57.2134982989201,98.1580922686067,102.092904543134,120.51543524613,17.3558708119529,15.5117406552558,19.358924033192,18.2213469920765,"16.2429958999057"," ","20.3117405138059"," ",6.58968954000817,"5.81984189488862"," ","7.40666372045158"," ",103.93955373946,92.8955636336705,115.935290524306
"415",413,"S08000029","C67","Bladder","Male"," ","2015-2019",0,0,0,0,0,0,0,0,3,4,3,15,19,26,40,45,32,32,219,0,0,0,0,0,0,0,0,5.51876379690949,6.20626522474438,4.44253579943432,23.2648313299729,33.6003678356058,47.6146872996978,85.9032729146981,142.911585365854,153.514032142,211.012199142763,24.3348204612504,21.2183669759248,27.7801669741864,26.4934077619312,"23.0295952067687"," ","30.1963412682551"," ",9.59848958526134,"8.27377034334261"," ","11.0201387338983"," ",102.102331492341,89.0265347201449,116.558074542918
"416",415,"S08000029","C40-C41","Bone and articular cartilage","All","d","2015-2019",1,2,0,3,0,1,0,0,1,1,4,1,2,3,1,1,0,1,22,1.03084281708725,1.88384228472392,0,2.89256995198334,0,0.913534006303385,0,0,0.896201896363213,0.754568914778987,2.86600700738713,0.758299589001623,1.71588393761046,2.6327798644996,1.02166961248072,1.44350135689128,0,2.31760452396403,1.18580483808374,0.743137578814498,1.79532277538297,1.16970399179473,".73148016267129"," ","1.70913190470407"," ",1.12855874752787,".645914526270504"," ","1.74366181620864"," ",132.007048745415,82.728114644602,199.860258208019
"417",416,"S08000029","C40-C41","Bone and articular cartilage","Male"," ","2015-2019",0,0,0,2,0,1,0,0,0,0,4,0,1,2,1,0,0,1,12,0,0,0,3.77793309280493,0,1.87360650516179,0,0,0,0,5.92338106591242,0,1.7684404124003,3.66266825382291,2.14758182286745,0,0,6.59413122321134,1.33341481979454,0.688994895101613,2.32920734580191,1.29219474640607," ","z"," ","z",1.04261150874511," ","z"," ","z",121.068327155451,62.5577713178938,211.482003025791
"418",417,"S08000029","C40-C41","Bone and articular cartilage","Female"," ","2015-2019",1,2,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,10,2.11913793468817,3.86944492812506,0,1.96947316592811,0,0,0,0,1.74757960225088,1.46896804994491,0,1.4837015385985,1.66636116711936,1.68511871661359,0,2.64634275431354,0,0,1.04675323315905,0.501958862193098,1.92501646459282,1.04721323718339," ","z"," ","z",1.21450598631062," ","z"," ","z",148.06000544767,71.0005276473062,272.287621576574
"419",418,"S08000029","ICD-10 C40-C41, C47+C49","Bone and connective tissue","All","d","2015-2019",3,2,1,4,2,3,2,0,1,2,7,6,6,10,10,5,8,4,76,3.09252845126175,1.88384228472392,1.00433874337136,3.85675993597778,1.66023326277342,2.74060201891015,1.89471091448222,0,0.896201896363213,1.50913782955797,5.01551226292748,4.54979753400974,5.14765181283138,8.77593288166532,10.2166961248072,7.21750678445638,16.3348647269015,9.27041809585612,4.09641671338019,3.22751044998349,5.12727636601114,4.02744539515724,"3.16812172938866"," ","4.9883240061661"," ",2.94634021845805,"2.17742186628386"," ","3.82973417762534"," ",108.43759483415,85.4364912034311,135.725819925544
"420",419,"S08000029","ICD-10 C40-C41, C47+C49","Bone and connective tissue","Male"," ","2015-2019",1,0,1,2,1,3,1,0,0,0,6,3,2,5,5,3,5,3,41,2.00726630402055,0,1.95844186365328,3.77793309280493,1.67582785896233,5.62081951548536,1.97906152902294,0,0,0,8.88507159886863,4.65296626599457,3.53688082480061,9.15667063455727,10.7379091143373,9.52743902439024,23.9865675221876,19.782393669634,4.55583396763136,3.26934511202966,6.18050320472195,4.5674558125976,"3.27069758595897"," ","6.07737258404828"," ",3.03504614536261,"2.00946208114445"," ","4.26872793209761"," ",102.87514151978,73.8249777025821,139.561745745487
"421",420,"S08000029","ICD-10 C40-C41, C47+C49","Bone and connective tissue","Female"," ","2015-2019",2,2,0,2,1,0,1,0,1,2,1,3,4,5,5,2,3,1,35,4.23827586937634,3.86944492812506,0,3.93894633185623,1.64492622505881,0,1.81725666933198,0,1.74757960225088,2.93793609988983,1.3881562508676,4.45110461579549,6.66544466847745,8.42559358306793,9.74373964727662,5.29268550862708,10.6647707074298,3.57359825608405,3.66363631605667,2.55185693003185,5.09523124025427,3.48743497771687,"2.42621123937789"," ","4.73816374541993"," ",2.8576342915535,"1.78112211877787"," ","4.18451117398072"," ",115.770384383284,80.6383145581758,161.008579541777
"422",421,"S08000029","ICD-10 C47+C49","Connective tissue","All","d","2015-2019",2,0,1,1,2,2,2,0,0,1,3,5,4,7,9,4,8,3,54,2.0616856341745,0,1.00433874337136,0.964189983994446,1.66023326277342,1.82706801260677,1.89471091448222,0,0,0.754568914778987,2.14950525554035,3.79149794500811,3.43176787522092,6.14315301716572,9.19502651232644,5.7740054275651,16.3348647269015,6.95281357189209,2.91061187529645,2.18654122140835,3.7977171313069,2.85774140336251,"2.14208790078859"," ","3.67495385163346"," ",1.81778147093019,"1.25407639796946"," ","2.48447095166792"," ",101.084567556348,75.9378382552909,131.893433534621
"423",422,"S08000029","ICD-10 C47+C49","Connective tissue","Male"," ","2015-2019",1,0,1,0,1,2,1,0,0,0,2,3,1,3,4,3,5,2,29,2.00726630402055,0,1.95844186365328,0,1.67582785896233,3.74721301032357,1.97906152902294,0,0,0,2.96169053295621,4.65296626599457,1.7684404124003,5.49400238073436,8.59032729146981,9.52743902439024,23.9865675221876,13.1882624464227,3.22241914783681,2.1581046772356,4.62793142231876,3.27526106619153,"2.18775958003854"," ","4.5787003757224"," ",1.9924346366175,"1.1847003402605"," ","3.00671322002444"," ",96.8526921917122,64.8637680055082,139.096621813175
"424",423,"S08000029","ICD-10 C47+C49","Connective tissue","Female"," ","2015-2019",1,0,0,1,1,0,1,0,0,1,1,2,3,4,5,1,3,1,25,2.11913793468817,0,0,1.96947316592811,1.64492622505881,0,1.81725666933198,0,0,1.46896804994491,1.3881562508676,2.96740307719699,4.99908350135808,6.74047486645434,9.74373964727662,2.64634275431354,10.6647707074298,3.57359825608405,2.61688308289762,1.6935087532467,3.86303565739038,2.44022174053348,"1.57728934719595"," ","3.48843095008949"," ",1.64312830524288,".922984286374055"," ","2.56752860565843"," ",106.48158298291,68.9092661493498,157.187821881169
"425",424,"S08000029","C71","Malignant brain cancer","All","d","2015-2019",3,2,2,0,2,1,4,4,7,6,7,13,13,22,22,15,12,5,140,3.09252845126175,1.88384228472392,2.00867748674273,0,1.66023326277342,0.913534006303385,3.78942182896445,3.70356653457279,6.27341327454249,4.52741348867392,5.01551226292748,9.8578946570211,11.153245594468,19.3070523396637,22.4767314745758,21.6525203533691,24.5022970903522,11.5880226198202,7.54603078780561,6.34785968873971,8.90461226341958,7.49459228266621,"6.29732831174303"," ","8.79450950831194"," ",4.60892308292085,"3.73767152911653"," ","5.57008454027373"," ",90.3840450627531,76.0327186958017,106.656717778553
"426",425,"S08000029","C71","Malignant brain cancer","Male"," ","2015-2019",2,2,2,0,1,0,3,1,6,3,4,9,12,18,16,7,5,3,94,4.01453260804111,3.67113933809358,3.91688372730655,0,1.67582785896233,0,5.93718458706881,1.92145107985551,11.037527593819,4.65469891855828,5.92338106591242,13.9588987979837,21.2212849488036,32.9640142844062,34.3613091658792,22.2306910569106,23.9865675221876,19.782393669634,10.4450827550573,8.44069008651533,12.7821359892918,10.3799815424227,"8.37773274568383"," ","12.5935532159755"," ",6.56917007325206,"5.10417949643622"," ","8.21618171790415"," ",108.270651339652,87.4937073122452,132.49585680904
"427",426,"S08000029","C71","Malignant brain cancer","Female"," ","2015-2019",1,0,0,0,1,1,1,3,1,3,3,4,1,4,6,8,7,2,46,2.11913793468817,0,0,0,1.64492622505881,1.78278542394637,1.81725666933198,5.36097212294496,1.74757960225088,4.40690414983474,4.16446875260279,5.93480615439398,1.66636116711936,6.74047486645434,11.6924875767319,21.1707420345083,24.8844649840028,7.1471965121681,4.81506487253163,3.5252326575465,6.42262177252859,4.60920302290969,"3.3687700915927"," ","6.04106881978536"," ",2.64867609258963,"1.77085385176945"," ","3.70040492892269"," ",67.5724016306075,49.4714906824967,90.1321144000714
"428",427,"S08000029","C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)","All","d","2015-2019",3,2,2,0,2,1,5,5,7,6,8,14,14,22,22,15,12,5,145,3.09252845126175,1.88384228472392,2.00867748674273,0,1.66023326277342,0.913534006303385,4.73677728620556,4.62945816821599,6.27341327454249,4.52741348867392,5.73201401477427,10.6161942460227,12.0111875632732,19.3070523396637,22.4767314745758,21.6525203533691,24.5022970903522,11.5880226198202,7.8155318873701,6.59522289391322,9.19617568281772,7.77926566685759,"6.55702648983559"," ","9.10441580196897"," ",4.82800243186913,"3.93529475554268"," ","5.8106011357519"," ",89.8409476665905,75.8132758461482,105.711696933631
"429",428,"S08000029","C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)","Male"," ","2015-2019",2,2,2,0,1,0,4,2,6,3,5,9,13,18,16,7,5,3,98,4.01453260804111,3.67113933809358,3.91688372730655,0,1.67582785896233,0,7.91624611609175,3.84290215971101,11.037527593819,4.65469891855828,7.40422633239053,13.9588987979837,22.989725361204,32.9640142844062,34.3613091658792,22.2306910569106,23.9865675221876,19.782393669634,10.8895543616554,8.84066660455332,13.2708788084978,10.8528877107966,"8.79999438767295"," ","13.1177813995052"," ",6.94798070960469,"5.43712641811848"," ","8.64125839546417"," ",108.464649086167,88.0568450374032,132.183665669303
"430",429,"S08000029","C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)","Female"," ","2015-2019",1,0,0,0,1,1,1,3,1,3,3,5,1,4,6,8,7,2,47,2.11913793468817,0,0,0,1.64492622505881,1.78278542394637,1.81725666933198,5.36097212294496,1.74757960225088,4.40690414983474,4.16446875260279,7.41850769299248,1.66636116711936,6.74047486645434,11.6924875767319,21.1707420345083,24.8844649840028,7.1471965121681,4.91974019584753,3.6148400474248,6.54221151121301,4.70564362291859,"3.45181302142359"," ","6.15072852048812"," ",2.70802415413357,"1.82250032464254"," ","3.7661140364204"," ",66.1558870892253,48.6088574809077,87.9733052600918
"431",439,"S08000029","D05","Carcinoma in situ of the breast","All","d","2015-2019",0,0,0,0,0,1,0,3,15,4,30,28,34,37,20,11,4,4,191,0,0,0,0,0,0.913534006303385,0,2.7776749009296,13.4430284454482,3.01827565911595,21.4950525554035,21.2323884920454,29.1700269393778,32.4709516621617,20.4333922496143,15.878514925804,8.16743236345074,9.27041809585612,10.2949420033634,8.886636205575,11.8630318823991,9.50301765481658,"8.19826457873589"," ","10.9027058584639"," ",5.74441510567972,"4.91124158465343"," ","6.64190894064946"," ",109.350488713433,94.3917908212245,126.006376096104
"432",430,"S08000029","D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)","All","d","2015-2019",1,3,2,2,2,3,8,10,12,10,20,10,16,16,14,20,18,21,188,1.03084281708725,2.82576342708588,2.00867748674273,1.92837996798889,1.66023326277342,2.74060201891015,7.57884365792889,9.25891633643198,10.7544227563586,7.54568914778987,14.3300350369357,7.58299589001623,13.7270715008837,14.0414926106645,14.30337457473,28.8700271378255,36.7534456355283,48.6696950032446,10.1332413436247,8.73645196513885,11.6898444870097,10.1830006655522,"8.7546950586543"," ","11.7176516390236"," ",6.19275563376828,"5.18218847755938"," ","7.29200660928145"," ",87.9394379781702,75.8176628469383,101.448126949686
"433",431,"S08000029","D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)","Male"," ","2015-2019",0,1,0,2,0,1,2,5,6,6,8,5,9,6,6,7,6,7,77,0,1.83556966904679,0,3.77793309280493,0,1.87360650516179,3.95812305804587,9.60725539927753,11.037527593819,9.30939783711657,11.8467621318248,7.75494377665762,15.9159637116027,10.9880047614687,12.8854909372047,22.2306910569106,28.7838810266251,46.1589185624794,8.55607842701498,6.75232329247304,10.6936299996247,9.21161243335395,"7.22809430797167"," ","11.43197866597"," ",5.43174297519004,"4.1481345502037"," ","6.88574011868988"," ",96.205298054467,75.9237167417039,120.240115863104
"434",432,"S08000029","D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)","Female"," ","2015-2019",1,2,2,0,2,2,6,5,6,4,12,5,7,10,8,13,12,14,111,2.11913793468817,3.86944492812506,4.1231162512627,0,3.28985245011761,3.56557084789275,10.9035400159919,8.9349535382416,10.4854776135053,5.87587219977965,16.6578750104112,7.41850769299248,11.6645281698355,16.8511871661359,15.5899834356426,34.402455806076,42.6590828297192,50.0303755851767,11.6189608880654,9.55825211786238,13.9922260139633,11.1543888977505,"9.16454126898192"," ","13.3368134121604"," ",6.95376829234651,"5.44137288187738"," ","8.64881193458731"," ",82.9929387102623,68.2735263365764,99.9449061912058
"435",433,"S08000029","C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","All brain and CNS tumours (malignant and non-malignant)","All","d","2015-2019",4,5,4,2,4,4,13,15,19,16,28,24,30,38,36,35,30,26,333,4.123371268349,4.70960571180981,4.01735497348546,1.92837996798889,3.32046652554684,3.65413602521354,12.3156209441344,13.888374504648,17.027836030901,12.0731026364638,20.0620490517099,18.1991901360389,25.7382590641569,33.3485449503282,36.7801060493058,50.5225474911946,61.2557427258806,60.2577176230648,17.9487732309948,16.0725270328977,19.9838942924634,17.9622663324098,"16.0604497190025"," ","19.9689640495861"," ",11.0207580656374,"9.65345642719205"," ","12.4773000541863"," ",88.7574369153079,79.4793207219618,98.8211959758098
"436",434,"S08000029","C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","All brain and CNS tumours (malignant and non-malignant)","Male"," ","2015-2019",2,3,2,2,1,1,6,7,12,9,13,14,22,24,22,14,11,10,175,4.01453260804111,5.50670900714037,3.91688372730655,3.77793309280493,1.67582785896233,1.87360650516179,11.8743691741376,13.4501575589885,22.075055187638,13.9640967556749,19.2509884642154,21.7138425746413,38.9056890728067,43.9520190458749,47.2468001030839,44.4613821138211,52.7704485488127,65.9413122321134,19.4456327886704,16.6712255498305,22.5497867597045,20.0645001441505,"17.1615293275508"," ","23.1909764629"," ",12.3797236847947,"10.3597832084464"," ","14.5769030401477"," ",102.706045596903,88.0524521924916,119.101263111994
"437",435,"S08000029","C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","All brain and CNS tumours (malignant and non-malignant)","Female"," ","2015-2019",2,2,2,0,3,3,7,8,7,7,15,10,8,14,14,21,19,16,158,4.23827586937634,3.86944492812506,4.1231162512627,0,4.93477867517642,5.34835627183912,12.7207966853238,14.2959256611866,12.2330572157562,10.2827763496144,20.822343763014,14.837015385985,13.3308893369549,23.5916620325902,27.2824710123746,55.5731978405843,67.543547813722,57.1775720973448,16.538701083913,14.060410101651,19.3280167604318,15.8600325206691,"13.4702337763947"," ","18.442104636936"," ",9.66179244648008,"7.87504488281449"," ","11.6284855326412"," ",77.1519642842263,65.5908981291956,90.1639403977277
"438",436,"S08000029","C50","Breast","All","d","2015-2019",0,0,0,0,0,10,22,37,80,111,219,183,204,285,192,151,129,115,1738,0,0,0,0,0,9.13534006303385,20.8418200593045,34.2579904447983,71.696151709057,83.7571495404675,156.913883654446,138.768824787297,175.020161636267,250.114087127462,196.160565596297,217.968704890583,263.399693721286,266.524520255864,93.6785822086154,89.3256898322509,98.1887409873806,85.8833532197746,"81.8775748507711"," ","89.9834538518387"," ",47.9578574323946,"45.5016907528989"," ","50.4776791233948"," ",101.539647176649,96.8214805939217,106.428277216829
"439",437,"S08000029","C50","Breast","Male"," ","2015-2019",0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,1.55098875533152,5.30532123720091,5.49400238073436,2.14758182286745,3.17581300813008,4.79731350443751,6.59413122321134,1.222296918145,0.610166217628504,2.18702681978365,1.21807121487908," ","z"," ","z",0.570739461300223," ","z"," ","z",112.677138917777,56.2480217744488,201.610526158942
"440",438,"S08000029","C50","Breast","Female"," ","2015-2019",0,0,0,0,0,10,22,37,80,111,219,182,201,282,191,150,128,114,1727,0,0,0,0,0,17.8278542394637,39.9796467253035,66.1186561829878,139.806368180071,163.055453543885,304.006218940004,270.033680024926,334.938594590992,475.203478085031,372.210854525967,396.951413147031,455.030216850338,407.390201193582,180.774283366568,172.347988531524,189.506000522986,170.54863522467,"162.569451427749"," ","178.716292335213"," ",95.344975403489,"90.4452357634585"," ","100.372142848139"," ",101.475759919373,96.7457471334453,106.37721834226
"441",441,"S08000029","D05","Carcinoma in situ of the breast","Female"," ","2015-2019",0,0,0,0,0,1,0,3,15,4,30,28,34,37,20,10,4,4,190,0,0,0,0,0,1.78278542394637,0,5.36097212294496,26.2136940337632,5.87587219977965,41.6446875260279,41.5436430807579,56.6562796820583,62.3493925147027,38.9749585891065,26.4634275431354,14.2196942765731,14.2943930243362,19.8883114300219,17.1607883070984,22.9261575534372,18.879002789308,"16.2808067248729"," ","21.6667276841851"," ",11.4570720812781,"9.79194221835553"," ","13.2510322949872"," ",109.273866511492,94.2878281698234,125.964936185282
